,TAP,LINES
0,1,9109 9209
1,3,955102 856203 115108 115208 11110 14206 215101 14106 936203
2,5,864104 864204
3,7,395106 395206
4,8,923104 35104 923204 35204
5,9,110201 237203 237103 110101 921117 921217 237101 237201
6,10,306207 306107
7,15,306107
8,16,318209 318109
9,18,388208 388108
10,19,306207 306107
11,20,389201 389101 388208 388108
12,24,315112 315212
13,25,306207 306107
14,26,150119 41111 150120 101203 41108 30211 101103 41208 101202 30111 41211 150219 150220 101102
15,27,916102 961103 917103
16,28,315112 315212
17,30,388208 388108
18,32,306207 306107
19,34,389201 389101
20,35,864106 864104 864204 864206
21,37,315112 315212
22,38,315112 315212
23,39,864104 864204
24,41,306207 306107
25,42,315112 315212
26,43,962104 936203 856203
27,44,315112 315212
28,46,388208 388108
29,47,27211 27111
30,50,306207 306107
31,54,315112 315212
32,55,704109
33,58,306207 306107
34,60,315112 311210 315212 311110
35,61,311210 311110
36,62,388208 388108
37,63,315112 311210 315212 311110
38,67,311210 311110
39,68,315112 309115 311110 313216 311210 303208 309215 313116 303108 315212
40,71,315112 309115 313216 315212 303208 309215 313116 303108
41,73,936203 856203 1215 215201 856103 936103 1211 1111 215101 1115
42,74,315112 309115 313216 315212 303208 309215 313116 303108
43,75,311210 303208 303108 311110
44,76,303108 303208
45,79,315112 309115 313216 315212 303208 309215 313116 303108
46,80,306207 306107
47,81,303108 303208
48,82,315112 315212 303108 303208
49,83,315112 309115 313216 315212 303208 309215 313116 303108
50,84,303108 303208
51,86,311210 303208 303108 311110
52,87,313216 309115 313116 309215
53,88,313216 313116
54,91,303108 303208
55,92,303108 303208
56,93,395106 392204 395206
57,97,311210 303208 303108 311110
58,100,309115 311210 311110 309215
59,101,27211 27111
60,102,306207 306107
61,103,388208 388108
62,104,315112 315212
63,105,309115 309215
64,106,311210 311110
65,107,303108 303208
66,108,311210 311110
67,109,309115 311110 311210 309215 303108 303208
68,110,347110 347210 445207 445107
69,113,309115 311110 311210 309215 303108 303208
70,114,388208 388108
71,115,388208 388108
72,117,315112 315212
73,121,306207 318209 306107 318109
74,123,395106 392104 392204 395206
75,124,392204
76,125,9109 27211 9209 27111
77,126,311210 303208 303108 311110
78,127,318209 318109
79,128,318209 318109
80,129,318209 318109
81,130,303108 318209 303208 318109
82,131,311210 311110
83,132,864106 864104 864204 864206
84,134,313216 311210 313116 311110
85,135,316106
86,136,303108 303208
87,139,318209 318109
88,140,318209 318109
89,141,318209 318109
90,142,355104 371107 371207 388208 388108 357105
91,144,303108 303208
92,145,315112 315212
93,146,315112 315212
94,147,303108 303208
95,148,395106 392104 392204 395206
96,149,395106 392104 392204 395206
97,151,306207 318209 306107 318109
98,152,316106
99,153,309115
100,154,318209 318109
101,155,101103 101102
102,157,335103 334107
103,158,313216 316106 311210 313116 311110
104,160,318209 318109
105,161,303108 303208
106,162,316106 311210 311110
107,164,315112 315212
108,166,311210
109,167,315112
110,168,335103 334107
111,169,335103 334107
112,170,389201 389101
113,171,335103 303108 334107 303208
114,173,306207 318209 306107 318109
115,175,313216 313116
116,176,313216 313116
117,177,9109 9209
118,178,318209 318109
119,179,316106 311210 311110
120,180,313216 303108 303208 313116
121,181,318209 334107 318109 306207 335103 306107
122,182,313216 309115 313116 309215
123,183,315112 316106
124,184,395106 392104 392204 395206
125,185,316106 311210
126,187,1215 215201 1211 1111 215101 1115
127,188,335103 334107
128,189,313216 313116
129,190,323203 318209 325210 315212 323103 323102 318109 325110 325109 325209 323202
130,191,35104 35204
131,192,303108 303208
132,193,313216 313116
133,194,388208 388108
134,195,315112 323203 318209 325210 315212 323103 323102 318109 325110 325109 325209 323202
135,196,323203 325210 323103 323102 325209 325110 325109 323202
136,198,84204 84104
137,199,335103 334107
138,200,313216 303108 303208 313116
139,201,316106
140,202,306207 318209 306107 318109
141,204,335103 334107
142,207,316106 311210 318209 318109
143,209,7212 7112 7211 7210 7111 10204 10104 7110
144,210,20120 30211 50211 110101 923204 20114 5210 929210
145,212,318209 303208 305107 332208 332109 305207 302213 318109 306207 335103 334107 302113 332209 332108 303108 306107
146,213,399201 399101
147,214,303108 303208
148,215,316106 311210 311110
149,216,323203 323103 323102 323202
150,217,309115 318109 318209 309215
151,218,309115 318109 318209 309215
152,219,318209 318109
153,220,335103 334107
154,221,27211 27111
155,222,399201 399101
156,223,335103 334107
157,225,313216 313116
158,226,309115 309215
159,227,395106 392104 392204 395206
160,228,399201 399101
161,229,992109 923104 923204
162,230,318209 318109
163,231,325210 325110 325109 325209
164,232,335103
165,233,303108 303208 313116
166,234,395106 392104 392204 395206
167,236,305207 305107
168,237,323203 323103 323102 323202
169,240,313216 313116
170,241,313216 313116
171,242,335103 334107
172,244,318209 318109
173,245,202106 201103
174,246,399201 399101
175,248,335103 302213 302113
176,249,325210 325110 325109 325209
177,250,302213 302113
178,251,392204 318209 303208 313216 101203 302213 101103 318109 101202 302113 313116 395106 392104 303108 101102 395206
179,252,305207 305107
180,253,332108 332209 332208 332109
181,254,323203 323103 323102 323202
182,257,318209 318109
183,258,399201 399101
184,259,398204 398104
185,260,302213 302113
186,261,325210 302213 325209 325110 302113 325109
187,262,305207 305107
188,263,309115 309215
189,264,399201 399101
190,265,302213 302113
191,266,332108 332209 332208 332109
192,267,325210 302213 325209 325110 302113 325109
193,268,325210 302213 325209 325110 302113 325109
194,269,318209 318109
195,270,318209 101203 302213 101103 318109 101202 302113 101102
196,271,323203 323102 323103 302213 302113 323202
197,273,325210 302213 325209 325110 302113 325109
198,274,325210 302213 325209 325110 302113 325109
199,275,302213 302113
200,276,305207 305107
201,277,318209 101203 302213 101103 318109 101202 302113 101102
202,278,323203 323103 323102 323202
203,279,325210 302213 325209 325110 302113 325109
204,280,325210 325110 325109 325209
205,281,202106 201103
206,282,325210 302213 325209 325110 302113 325109
207,284,325210 302213 325209 325110 302113 325109
208,285,309115 325210 302213 325209 309215 325110 325109 302113
209,286,325210 302213 325209 325110 302113 325109
210,288,399201 399101
211,289,325210 302213 325209 325110 302113 325109
212,292,325210 302213 325209 325110 302113 325109
213,293,323203 323103 323102 323202
214,294,101203 302213 101103 101202 302113 101102
215,295,388208 388108
216,297,323102 323202
217,298,309115 325210 302213 323102 325209 309215 325110 325109 323202 302113
218,300,309115 323102 302113 323202 309215
219,301,332108 332209 332208 332109
220,302,323203 323103 323102 323202
221,303,302213 302113
222,304,101203 302213 101103 101202 302113 101102
223,305,305207 305107
224,306,309115 309215
225,307,399201 399101
226,308,101203 302213 101103 101202 302113 101102
227,309,305207 332108 305107 332208
228,310,323102 323202
229,311,309115 309215
230,315,323102 323202
231,317,325210 325110 325109 325209
232,318,332108 332209 332208 332109
233,319,305207 305107
234,320,323102 323202
235,321,311210 311110
236,323,325109 325209
237,324,332108 332208
238,327,309115 309215
239,329,332108 332209 332208 332109
240,331,332108 332208
241,333,325210 325110 325109 325209
242,334,325110 325210
243,336,962104 962204
244,337,398204 398104
245,338,325210 101203 101103 325209 101202 325110 325109 101102
246,339,332108 332209 332208 332109
247,343,325110 325210
248,344,359105 358106
249,345,305207 305107
250,347,332108 332208
251,348,325110 325210
252,349,359105 358106
253,351,359105 358106
254,353,444103 444203
255,354,359105 358106
256,355,359105 358106
257,356,30211 30111
258,357,325110 325210
259,362,359105 358106
260,363,332108 332208
261,364,309115 309215
262,365,359105 358106
263,366,101202 101203 101102 101103
264,367,325110 325210
265,369,359105 358106
266,370,304108 304109 305107 305207 304107 304208 304209 304207
267,372,309115 309215
268,373,359105 358106
269,374,332108 332208
270,375,304108 304109 305107 305207 304107 304208 304209 304207
271,377,309115 309215
272,380,357105 355104
273,382,309115 309215
274,383,30211 30111
275,384,101202 101203 101102 101103
276,385,388208 388108
277,386,359105 358106
278,388,332108 332208
279,389,304108 304109 347210 305107 347110 305207 304107 304208 304209 445207 304207 445107
280,390,309115 309215
281,391,305207 305107
282,393,399201 399101
283,394,359105 358106
284,395,354206 354106
285,396,304108 304109 304107 304208 304209 304207
286,398,872103 871102
287,399,332108 332208
288,401,359105 358106
289,402,357105 355104
290,403,305207 305107
291,404,357105 388208 355104 388108
292,405,305207 305107
293,408,309115 309215
294,409,332108 332208
295,411,354206 354106
296,412,305207 305107
297,413,357105 355104
298,414,347110 347210 445207 445107
299,415,359105 358106
300,416,359105 356103 358106
301,417,354206 354106
302,419,399201 399101
303,420,332108 332208
304,421,332108 332208
305,423,305207 305107
306,424,353207 305207 305107 353107
307,426,354206 354106 351106 352108
308,427,332108 332208
309,428,304108 304109 304107 304208 304209 304207
310,429,444103 444203
311,430,354206 388208 355104 388108 357105 354106
312,431,444103 444203
313,433,354206 354106
314,437,357105 355104 358106 359105
315,439,359105 356103 358106
316,441,332108 332208
317,443,815101 816202 816102 815201
318,445,347110 347210 445207 445107
319,446,309115 309215
320,447,353207 353107
321,449,332108 332208
322,450,354206 355104 351106 388208 352108 388108 357105 354106
323,451,351106 352108
324,453,309115 444203 444103 309215
325,455,446102 446202
326,456,305207 305107
327,457,356103
328,458,347110 347210
329,459,356103
330,462,332108 332208
331,463,399201 399101
332,464,309115 444203 444103 309215
333,465,354106
334,466,101202 101203 101102 101103
335,467,445207 445107
336,468,351106 352108
337,469,309115 444203 444103 309215
338,470,347110 347210 445207 445107
339,471,204101
340,472,357105 388208 355104 388108
341,473,357105 355104 358106 359105
342,474,445207 445107
343,476,445207 445107
344,477,309115 444203 444103 309215
345,478,351106 352108
346,479,446102 446202
347,480,354206 354106
348,481,354206
349,483,356103
350,484,445207 445107
351,485,304108 304109 445207 304107 304208 304209 304207 445107
352,486,445207 445107
353,487,446102 446202
354,488,446102 446202
355,490,351106 352108
356,491,445207 445107
357,493,445207 445107
358,494,445207 445107
359,496,309115 445107 445207 309215
360,497,351106 352108
361,498,399201 399101
362,499,101202 101203 101103 101102
363,500,354206 355104 358106 359105 357105 354106
364,501,355104 371107 371207 388208 388108 357105
365,502,356103
366,506,354206 354106 356103
367,509,351106 352108
368,510,351106 352108
369,511,347110 347210
370,512,350103 388208 353107 371207 350203 355104
371,514,305207 305107
372,516,356103 389201 305207 389101 305107
373,517,304108 304109 304107 304208 304209 304207
374,518,350103 350203
375,519,446102 446202
376,520,371207 351106 352108 371107
377,521,355104 351106 359105 352108 357105 358106
378,523,309115 445107 445207 309215
379,524,356103 305207 305107
380,525,933104 934104
381,526,354206 354106
382,527,444103 445207 444203 445107
383,528,350103 350203
384,530,446102 446202
385,531,933104 934104
386,534,444103 445207 444203 445107
387,536,356103 354106
388,538,305207 305107
389,539,444203 445207 446202 444103 446102 445107
390,540,388208 351106 353107 371207 355104 352108
391,541,353207 353107
392,542,444203 445207 446202 444103 446102 445107
393,544,357105 388108 353207 371107
394,545,371207 371107
395,548,101103 101102
396,549,351106 352108
397,550,933104 934104
398,553,445207 445107
399,554,445207 445107
400,555,309115 309215
401,556,350103 351106 371107 359105 356103 353207 388108 357105 354106 358106
402,558,309115 445107 445207 309215
403,562,359105 371207 350203 353207 308105 351106 350103 354106 353107 288201 389201 235201 358106 371107 235101 354206 288101 355104 308205 352108 357105 388208 389101 305107 305207 356103 388108
404,563,444203 445207 446202 444103 446102 445107
405,564,399201 399101
406,566,288101 353107 235101 308205 353207 308105
407,570,350103 350203
408,572,371207 371107
409,573,309115 309215
410,579,308105 308205 353207 353107
411,580,350103 350203
412,582,353207 353107
413,584,444203 445207 446202 444103 446102 445107
414,590,308105 308205
415,593,353207 353107
416,595,8106 8206
417,596,120112 1111 11210 3101 11110 120116 10204 1115
418,597,371207 371107
419,598,304108 304109 304107 304208 304209 304207
420,604,350103 350203
421,608,309115 309215
422,610,101202 101203 101103 101102
423,612,308105 308205
424,621,371207 371107
425,622,308105 308205
426,623,371207 371107
427,625,309115 309215
428,627,350103 350203
429,630,371207 371107
430,631,101103 101102
431,635,388208 388108
432,636,309115 309215
433,637,350103 350203
434,638,371207 371107
435,639,101202 101203 101103 101102
436,641,304108 304109 304107 304208 304209 304207
437,643,309115 309215
438,644,304109 304209
439,645,350103 350203
440,646,304108 304109 304107 304208 304209 304207
441,647,101202 101203 101103 101102
442,650,309115 309215
443,652,288101 288201 992109 215201 235201 235101 290201 923204 290101 215101 923104
444,655,350103 288101 288201 235201 235101 350203
445,658,350103 350203
446,659,304207 304107
447,660,304108 304109 304107 304208 304209 304207
448,662,304108 309115 304107 309215 304208 304207
449,663,304207 304107
450,664,101202 101203 101103 101102
451,665,304109 304209
452,667,101202 101203 101103 101102
453,668,304108 309115 304208 309215
454,671,304207 304107
455,673,101202 101203 101103 101102
456,676,371207 371107
457,678,304108 309115 304208 309215
458,679,309115 101203 101103 304107 101202 309215 304207 101102
459,682,309115 309215
460,683,709104 709110 709114 709118 709204 709210 709214 709218
461,684,309115 309215
462,686,398204 398104
463,687,235201 235101 290201 237101 944201 237201 290101 944101
464,688,304108 309115 304109 309215 304208 304209
465,689,304108 309115 304208 101203 304109 101103 304107 101202 309215 304209 304207 101102
466,690,309115 309215
467,692,304109 304209
468,693,304109 304209
469,697,304109 304209
470,699,304109 304209
471,700,304108 304109 304209 304208
472,701,101202 101203 101103 101102
473,707,304108 304109 304209 304208
474,708,304109 304209
475,709,304108 304109 304209 304208
476,710,304108 304109 304209 304208
477,713,304108 304109 304209 304208
478,714,371207 371107
479,717,371207 371107
480,720,945201 945101
481,721,308105 308205
482,723,945201 945101
483,725,945201 945101
484,727,308105 308205
485,731,944101 944201
486,732,945201 945101
487,738,945201 945101
488,739,7210 7211 7110 7111
489,740,101202 101203 101103 101102
490,742,945102 945202
491,743,945202 945102 945201 945101
492,744,945102 945202
493,745,945102 945202
494,747,20120 945201 235201 235101 290201 237101 20220 237201 290101 945101
495,748,150119 201103 237103 101203 30211 202106 101103 150220 101202 276204 237101 30111 150120 150219 276104 101102
496,752,20220 20120
497,753,101202 101203 101103 101102
498,754,20220 20120
499,758,945202 945102 945201 945101
500,760,945102 945202
501,761,20220 20120
502,764,101202 101203 101103 101102
503,765,308105 308205
504,766,357105 388208 355104 388108
505,767,20220 20120
506,768,945102 945202
507,769,20220 20120
508,770,101202 101203 101103 101102
509,771,945202 945102 945201 945101
510,773,308105 308205
511,774,308105 308205
512,775,308105 308205
513,776,308105 308205
514,777,398204 398104
515,778,399201 399101
516,779,101203 101103 101202 308205 308105 101102
517,780,20220 20120
518,781,945202 945102 945201 945101
519,782,101203 101103 101202 308205 308105 101102
520,783,901204 901104
521,784,20220 20120
522,786,308105 308205
523,788,308105 308205
524,789,945102 945202
525,790,308105 308205
526,791,945202 945102 945201 945101
527,792,20220 20120
528,793,308105 308205
529,794,101202 101203 101103 101102
530,795,308105 308205
531,796,355104 371107 371207 353107 388208 353207 388108 357105
532,798,20220 20120
533,799,945102 945202
534,800,945102 945202
535,801,945102 945202
536,803,945102 945202
537,804,20220 20120
538,808,945102 945202
539,809,945202 945102 945201 945101
540,812,945102 945202
541,813,945202 945102 945201 945101
542,814,101202 101203 101103 101102
543,815,20220 20120
544,819,945202 945102 945201 945101
545,820,907102 906104
546,821,945202 945102 945201 945101
547,823,20220 20120
548,824,992109
549,827,101202 101203 101102 101103
550,828,20220 20120
551,829,20220 20120
552,830,945202 945102 945201 945101
553,831,31112 110201 237203 237103 20120 110101 921117 921217 237101 964204 20220 237201 31212 964104
554,832,945202 945102 945201 945101
555,834,20220 20120
556,835,945201 944201 945202 945101 945102 944101
557,836,945201 944201 945202 945101 945102 944101
558,837,945201 944201 945202 945101 945102 944101
559,838,944101 944201
560,839,945201 944201 945202 945101 945102 944101
561,840,944101 944201
562,841,944101 944201
563,842,944101 944201
564,844,944101 944201
565,845,101202 101203 101102 101103
566,849,905118 905218
567,850,20220 20120
568,851,945201 944201 945202 945101 945102 944101
569,852,944101 944201
570,853,332108 332208
571,856,101202 101203 101102 101103
572,859,944101 944201
573,860,944101 944201
574,864,311210 311110
575,880,101202 101203 101102 101103
576,884,964104 964204
577,885,964104 964204
578,890,964104 964204
579,891,964104 964204 20220 20120
580,893,964104 964204 20220 20120
581,894,964104 964204
582,895,110201 237203 237103 110101 921117 921217 237101 237201
583,896,110201 237203 237103 110101 921117 921217 237101 237201
584,897,1111 11210 215201 1211 1215 11110 215101 1115
585,898,110201 237203 237103 110101 921117 921217 237101 964204 237201 964104
586,899,110201 237203 237103 110101 921117 921217 237101 237201
587,901,964104 964204
588,902,31112 110201 20120 237203 237103 235201 235101 110101 921117 921217 237101 964204 20220 237201 31212 964104
589,903,101202 101203 101102 101103
590,904,110201 237203 237103 110101 921117 921217 237101 237201
591,905,110201 237203 237103 110101 921117 921217 237101 237201
592,906,110201 237203 237103 110101 921117 921217 237101 237201
593,907,972103
594,908,101202 101203 101102 101103
595,910,237203 237103 921117 921217 237101 237201
596,911,110201 110101
597,912,964104 964204
598,913,964104 964204
599,914,964104 964204
600,915,31112 20120 20220 964204 31212 964104
601,916,978103
602,918,972103
603,920,972103
604,921,972103
605,922,964104 964204
606,924,398204 398104
607,926,31212 31112 20220 20120
608,927,978103
609,928,972103
610,929,921217 972103 921117
611,930,13209 11210 13109 3101 11217 3201 11110 11111
612,932,921217 972103 921117
613,934,972103
614,936,921217 972103 921117
615,937,237203 237103 973103 921117 921217 237101 237201
616,940,972103
617,941,101202 978103 101203 101102 101103
618,942,31212 31112 20220 20120
619,943,921217 972103 921117
620,944,964104 964204
621,945,972103
622,948,973103
623,949,30211 30111
624,951,237103 237101 973103 237201 237203
625,952,978103
626,953,964104 964204
627,955,921217 972103 921117
628,957,101202 978103 101203 101103 101102
629,958,20220 20120
